Date,Exports of goods and services,Year-ended exports growth,Rural exports,Resource exports,Coal exports,Metal ores exports,Other mineral fuels exports,Manufactures exports,Services exports
Mar-2010,84752000000,4.7,8795000000,46606600000,8182000000,25160000000,4798000000,8761800000,16876000000
Jun-2010,85884000000,8.5,8618000000,47938900000,8398000000,24344000000,5234000000,8656800000,16953000000
Sep-2010,84393000000,4.8,9194000000,45248200000,8109000000,22973000000,5336000000,8530400000,17101000000
Dec-2010,86157000000,4.9,8977000000,47936700000,8059000000,26113000000,5118000000,8919000000,16833000000
Mar-2011,81749000000,-3.5,8976000000,44416200000,6974000000,24236000000,4851000000,8712400000,16362000000
Jun-2011,83810000000,-2.4,9471000000,45114100000,7113000000,25253000000,5229000000,8909000000,16804000000
Sep-2011,86527000000,2.5,10028000000,47410100000,7667000000,27265000000,4540000000,8966000000,16435000000
Dec-2011,88609000000,2.8,10644000000,48867500000,8038000000,28218000000,4609000000,8887900000,16243000000
Mar-2012,86408000000,5.7,10175000000,47154000000,7990000000,27388000000,4613000000,9056900000,16079000000
Jun-2012,90044000000,7.4,10826000000,49666400000,7971000000,28799000000,4908000000,9185600000,16405000000
Sep-2012,90926000000,5.1,11297000000,50763200000,8178000000,29247000000,5471000000,9088700000,16062000000
Dec-2012,91779000000,3.6,11376000000,51656800000,8206000000,30621000000,5200000000,8753600000,16260000000
Mar-2013,91678000000,6.1,10933000000,51808700000,8648000000,30952000000,4729000000,8701000000,16539000000
Jun-2013,95875000000,6.5,11765000000,54987200000,9529000000,32282000000,4701000000,8712400000,16617000000
Sep-2013,95696000000,5.2,11317000000,54837800000,9557000000,32916000000,4833000000,8915300000,16984000000
Dec-2013,97064000000,5.8,11504000000,56104700000,10163000000,33776000000,4373000000,9018700000,17246000000
Mar-2014,99774000000,8.8,12271000000,58495000000,10139000000,35711000000,4875000000,8684100000,17401000000
Jun-2014,100217000000,4.5,11065000000,58937600000,10084000000,37328000000,4964000000,8900900000,17887000000
Sep-2014,102463000000,7.1,11077000000,60481500000,10565000000,38889000000,4615000000,8955100000,18188000000
Dec-2014,104521000000,7.7,10983000000,61974400000,10818000000,40241000000,4653000000,8899500000,18767000000
Mar-2015,108154000000,8.4,12171000000,63578400000,11086000000,41440000000,4715000000,9066200000,19532000000
Jun-2015,104534000000,4.3,12167000000,59730300000,10044000000,41189000000,4375000000,8999600000,19228000000
Sep-2015,109530000000,6.9,11225000000,66155000000,10503000000,43247000000,4884000000,9022500000,19690000000
Dec-2015,110469000000,5.7,12294000000,65304100000,10196000000,42067000000,5407000000,8941700000,20254000000
Mar-2016,112750000000,4.2,11262000000,68085000000,10710000000,43948000000,5757000000,9571200000,20301000000
Jun-2016,113797000000,8.9,11349000000,69352900000,11245000000,43891000000,5799000000,9450800000,20170000000
Sep-2016,115553000000,5.5,11494000000,70323500000,11261000000,43082000000,6265000000,9502000000,20990000000
Dec-2016,119440000000,8.1,12957000000,72652600000,11350000000,45667000000,6897000000,9466900000,21189000000
Mar-2017,116698000000,3.5,13657000000,68277200000,10161000000,43244000000,6977000000,9226400000,21823000000
Jun-2017,119404000000,4.9,13457000000,69818400000,9416000000,43279000000,7626000000,9416900000,22780000000
Sep-2017,121899000000,5.5,13860000000,72945500000,10716000000,45837000000,7533000000,9886100000,22363000000
Dec-2017,119373000000,-0.1,12740000000,72144700000,10084000000,46480000000,7507000000,9450600000,22201000000
Mar-2018,124047000000,6.3,11853000000,77332400000,10709000000,47455000000,8776000000,9653600000,23292000000
Jun-2018,125159000000,4.8,12552000000,77080900000,10458000000,48883000000,8770000000,9746400000,23661000000
Sep-2018,126507000000,3.8,12618000000,77808600000,10628000000,46585000000,9264000000,10119600000,24098000000
Dec-2018,126009000000,5.6,11679000000,77017800000,10873000000,46196000000,9806000000,10560100000,24464000000
Mar-2019,127167000000,2.5,12156000000,77085100000,10609000000,45503000000,9544000000,10597200000,24937000000
Jun-2019,129946000000,3.8,11599000000,79556600000,11182000000,45960000000,10618000000,10872700000,25499000000
Sep-2019,130838000000,3.4,11243000000,79907900000,10700000000,45557000000,10983000000,10728500000,26421000000
Dec-2019,129930000000,3.1,11621000000,77694300000,10953000000,45293000000,10369000000,11299000000,26789000000
Mar-2020,124374000000,-2.2,11208000000,76991300000,10860000000,44755000000,10579000000,10857100000,22789000000
Jun-2020,116059000000,-10.7,10411000000,77069400000,9984000000,49060000000,10189000000,9225300000,16972000000
Sep-2020,111231000000,-15.0,9188000000,74239600000,9684000000,45473000000,9509000000,9559100000,15762000000
Dec-2020,116235000000,-10.5,11250000000,75982400000,9767000000,45175000000,10321000000,9845300000,16219000000
Mar-2021,117970000000,-5.1,12778000000,77715900000,10083000000,46166000000,10107000000,9487900000,15268000000
Jun-2021,113820000000,-1.9,12816000000,73166100000,9666000000,44959000000,9687000000,9428800000,15294000000
Sep-2021,113627000000,2.2,12860000000,74261900000,10206000000,44498000000,10801000000,9365300000,14259000000
Dec-2021,113298000000,-2.5,13123000000,74538400000,9780000000,45930000000,9929000000,8883300000,13869000000
Mar-2022,112502000000,-4.6,12902000000,71833800000,9659000000,44159000000,9732000000,9984600000,14741000000
Jun-2022,118395000000,4.0,13604000000,75619200000,9847000000,45522000000,10854000000,9458000000,16699000000
Sep-2022,120755000000,6.3,14844000000,74775500000,8894000000,46585000000,9366000000,9583700000,18758000000
Dec-2022,122570000000,8.2,14067000000,75470500000,9767000000,47459000000,9619000000,9697000000,20628000000
Mar-2023,124727000000,10.9,14819000000,75165500000,8897000000,47463000000,10079000000,9946400000,22473000000
Jun-2023,130036000000,9.8,14956000000,77266400000,9874000000,47591000000,10568000000,10142700000,25201000000