Date,Labour force persons,Labour force participation rate,Employment persons,Year-ended employment growth,Employment to population ratio,Unemployment persons,Unemployment rate
Jan-2010,11544872,65.4,10936980,1.3,61.9,607892,5.3
Feb-2010,11530715,65.2,10919642,1.1,61.7,611073,5.3
Mar-2010,11551709,65.2,10925327,1.4,61.7,626382,5.4
Apr-2010,11573384,65.3,10937151,1.3,61.7,636233,5.5
May-2010,11542381,65.0,10938850,1.5,61.6,603530,5.2
Jun-2010,11588596,65.2,10992406,2.2,61.8,596190,5.1
Jul-2010,11634134,65.4,11019051,2.0,61.9,615082,5.3
Aug-2010,11647128,65.4,11060762,2.5,62.1,586366,5.0
Sep-2010,11677903,65.5,11087562,2.6,62.2,590341,5.1
Oct-2010,11724556,65.7,11104824,2.6,62.2,619732,5.3
Nov-2010,11763950,65.8,11162890,2.9,62.4,601060,5.1
Dec-2010,11741875,65.6,11169242,2.6,62.4,572632,4.9
Jan-2011,11790616,65.8,11200782,2.4,62.5,589833,5.0
Feb-2011,11759914,65.5,11175005,2.3,62.2,584909,5.0
Mar-2011,11795854,65.6,11214802,2.6,62.4,581053,4.9
Apr-2011,11765146,65.4,11181854,2.2,62.1,583292,5.0
May-2011,11762382,65.3,11172823,2.1,62.0,589559,5.0
Jun-2011,11784946,65.3,11205379,1.9,62.1,579568,4.9
Jul-2011,11811121,65.4,11209894,1.7,62.0,601227,5.1
Aug-2011,11842838,65.5,11218459,1.4,62.0,624379,5.3
Sep-2011,11866318,65.5,11246538,1.4,62.1,619780,5.2
Oct-2011,11865592,65.4,11249859,1.3,62.0,615734,5.2
Nov-2011,11873829,65.4,11252674,0.8,61.9,621156,5.2
Dec-2011,11847171,65.1,11231436,0.6,61.7,615736,5.2
Jan-2012,11907508,65.3,11306689,0.9,62.0,600819,5.0
Feb-2012,11887936,65.1,11270265,0.9,61.7,617671,5.2
Mar-2012,11952075,65.3,11332755,1.1,62.0,619320,5.2
Apr-2012,11916053,65.1,11321162,1.2,61.8,594891,5.0
May-2012,11987515,65.3,11364375,1.7,62.0,623140,5.2
Jun-2012,11956091,65.1,11338580,1.2,61.7,617511,5.2
Jul-2012,11968982,65.1,11349096,1.2,61.7,619886,5.2
Aug-2012,11978291,65.0,11360367,1.3,61.7,617925,5.2
Sep-2012,12052817,65.3,11391144,1.3,61.7,661673,5.5
Oct-2012,12043729,65.2,11391783,1.3,61.7,651946,5.4
Nov-2012,12017137,65.0,11385314,1.2,61.5,631823,5.3
Dec-2012,12050650,65.0,11395894,1.5,61.5,654756,5.4
Jan-2013,12119139,65.3,11466430,1.4,61.8,652709,5.4
Feb-2013,12120990,65.2,11466355,1.7,61.7,654635,5.4
Mar-2013,12117124,65.1,11433967,0.9,61.4,683157,5.6
Apr-2013,12144559,65.1,11466274,1.3,61.5,678285,5.6
May-2013,12138941,65.0,11458248,0.8,61.4,680693,5.6
Jun-2013,12163630,65.1,11470470,1.2,61.4,693160,5.7
Jul-2013,12141950,64.9,11458154,1.0,61.2,683796,5.6
Aug-2013,12170986,64.9,11459534,0.9,61.1,711452,5.8
Sep-2013,12170843,64.8,11476263,0.7,61.1,694580,5.7
Oct-2013,12181335,64.8,11471445,0.7,61.1,709890,5.8
Nov-2013,12154070,64.6,11449289,0.6,60.9,704781,5.8
Dec-2013,12133714,64.5,11417599,0.2,60.7,716116,5.9
Jan-2014,12176988,64.6,11453972,-0.1,60.7,723016,5.9
Feb-2014,12194831,64.6,11476948,0.1,60.8,717884,5.9
Mar-2014,12249918,64.7,11530594,0.8,60.9,719324,5.9
Apr-2014,12247060,64.7,11536679,0.6,60.9,710381,5.8
May-2014,12239220,64.6,11513713,0.5,60.7,725508,5.9
Jun-2014,12271735,64.7,11529012,0.5,60.8,742723,6.1
Jul-2014,12306627,64.8,11546418,0.8,60.8,760209,6.2
Aug-2014,12300611,64.7,11550048,0.8,60.7,750563,6.1
Sep-2014,12317971,64.7,11550894,0.7,60.6,767077,6.2
Oct-2014,12328357,64.7,11543695,0.6,60.5,784662,6.4
Nov-2014,12319550,64.5,11543287,0.8,60.5,776263,6.3
Dec-2014,12350301,64.6,11596088,1.6,60.7,754213,6.1
Jan-2015,12393563,64.8,11607959,1.3,60.7,785604,6.3
Feb-2015,12436406,64.9,11671485,1.7,60.9,764921,6.2
Mar-2015,12451052,64.9,11691502,1.4,60.9,759550,6.1
Apr-2015,12451262,64.8,11690777,1.3,60.8,760485,6.1
May-2015,12473967,64.8,11734288,1.9,61.0,739678,5.9
Jun-2015,12478034,64.8,11727872,1.7,60.9,750162,6.0
Jul-2015,12549794,65.1,11761896,1.9,61.0,787898,6.3
Aug-2015,12536643,64.9,11773233,1.9,61.0,763409,6.1
Sep-2015,12563112,65.0,11788793,2.1,61.0,774319,6.2
Oct-2015,12609437,65.2,11862805,2.8,61.3,746632,5.9
Nov-2015,12634496,65.2,11894629,3.0,61.4,739866,5.9
Dec-2015,12629066,65.1,11903724,2.7,61.4,725341,5.7
Jan-2016,12674849,65.3,11911155,2.6,61.3,763694,6.0
Feb-2016,12643050,65.0,11923295,2.2,61.3,719755,5.7
Mar-2016,12654484,64.9,11939519,2.1,61.3,714965,5.6
Apr-2016,12660699,64.9,11946533,2.2,61.2,714166,5.6
May-2016,12667054,64.8,11942406,1.8,61.1,724648,5.7
Jun-2016,12686779,64.9,11963377,2.0,61.2,723402,5.7
Jul-2016,12722779,65.0,11997855,2.0,61.3,724924,5.7
Aug-2016,12687002,64.7,11974869,1.7,61.0,712133,5.6
Sep-2016,12676032,64.5,11960114,1.5,60.9,715918,5.6
Oct-2016,12697903,64.6,11988441,1.1,61.0,709462,5.6
Nov-2016,12743803,64.7,12009415,1.0,61.0,734388,5.8
Dec-2016,12777372,64.8,12031853,1.1,61.0,745519,5.8
Jan-2017,12783679,64.7,12056784,1.2,61.0,726895,5.7
Feb-2017,12800789,64.7,12051991,1.1,60.9,748798,5.8
Mar-2017,12867368,64.9,12114699,1.5,61.1,752669,5.8
Apr-2017,12891947,64.9,12168426,1.9,61.3,723520,5.6
May-2017,12906069,64.9,12190549,2.1,61.3,715520,5.5
Jun-2017,12950822,65.1,12224304,2.2,61.4,726519,5.6
Jul-2017,12986688,65.2,12259372,2.2,61.5,727316,5.6
Aug-2017,13033725,65.3,12314266,2.8,61.7,719458,5.5
Sep-2017,13063772,65.4,12351594,3.3,61.8,712178,5.5
Oct-2017,13057836,65.3,12355909,3.1,61.8,701927,5.4
Nov-2017,13113945,65.5,12402924,3.3,62.0,711021,5.4
Dec-2017,13183177,65.8,12443040,3.4,62.1,740137,5.6
Jan-2018,13216386,65.8,12488861,3.6,62.2,727524,5.5
Feb-2018,13206384,65.7,12471020,3.5,62.0,735364,5.6
Mar-2018,13212648,65.6,12484473,3.1,62.0,728175,5.5
Apr-2018,13236776,65.6,12503637,2.8,62.0,733139,5.5
May-2018,13209610,65.4,12495700,2.5,61.9,713910,5.4
Jun-2018,13278072,65.7,12568962,2.8,62.2,709110,5.3
Jul-2018,13274943,65.6,12571388,2.5,62.1,703555,5.3
Aug-2018,13319539,65.7,12615961,2.4,62.2,703578,5.3
Sep-2018,13305794,65.5,12637573,2.3,62.2,668221,5.0
Oct-2018,13328742,65.6,12660768,2.5,62.3,667974,5.0
Nov-2018,13369177,65.7,12686136,2.3,62.3,683040,5.1
Dec-2018,13379425,65.6,12706915,2.1,62.3,672510,5.0
Jan-2019,13428496,65.8,12751090,2.1,62.5,677406,5.0
Feb-2019,13402072,65.5,12735864,2.1,62.3,666208,5.0
Mar-2019,13451590,65.7,12768066,2.3,62.3,683524,5.1
Apr-2019,13514926,65.9,12809440,2.4,62.5,705485,5.2
May-2019,13540846,66.0,12833544,2.7,62.5,707301,5.2
Jun-2019,13559996,66.0,12844808,2.2,62.5,715188,5.3
Jul-2019,13599324,66.1,12880804,2.5,62.6,718520,5.3
Aug-2019,13642819,66.2,12923709,2.4,62.7,719110,5.3
Sep-2019,13663019,66.2,12952273,2.5,62.8,710745,5.2
Oct-2019,13632925,66.0,12909648,2.0,62.5,723276,5.3
Nov-2019,13639345,65.9,12935893,2.0,62.5,703452,5.2
Dec-2019,13653823,65.9,12962020,2.0,62.6,691803,5.1
Jan-2020,13712995,66.1,12992014,1.9,62.6,720981,5.3
Feb-2020,13682439,65.8,12987330,2.0,62.5,695109,5.1
Mar-2020,13694449,65.8,12981400,1.7,62.4,713049,5.2
Apr-2020,13234252,63.6,12397883,-3.2,59.6,836369,6.3
May-2020,13025351,62.5,12108720,-5.6,58.1,916631,7.0
Jun-2020,13336977,64.0,12342065,-3.9,59.2,994912,7.5
Jul-2020,13480554,64.7,12465618,-3.2,59.8,1014936,7.5
Aug-2020,13536855,65.0,12613189,-2.4,60.6,923665,6.8
Sep-2020,13519628,64.9,12585335,-2.8,60.4,934293,6.9
Oct-2020,13690211,65.7,12736212,-1.3,61.2,953999,7.0
Nov-2020,13748391,66.0,12810266,-1.0,61.5,938126,6.8
Dec-2020,13760662,66.1,12854102,-0.8,61.7,906560,6.6
Jan-2021,13768954,66.1,12898912,-0.7,61.9,870042,6.3
Feb-2021,13757285,66.0,12959925,-0.2,62.2,797359,5.8
Mar-2021,13800023,66.2,13025455,0.3,62.5,774568,5.6
Apr-2021,13757742,66.0,13011532,4.9,62.4,746210,5.4
May-2021,13797693,66.1,13096820,8.2,62.8,700873,5.1
Jun-2021,13811078,66.2,13122101,6.3,62.9,688977,5.0
Jul-2021,13795439,66.1,13147099,5.5,63.0,648340,4.7
Aug-2021,13626592,65.2,13005354,3.1,62.3,621238,4.6
Sep-2021,13515490,64.7,12886628,2.4,61.7,628862,4.7
Oct-2021,13546025,64.8,12835405,0.8,61.4,710620,5.2
Nov-2021,13838217,66.1,13202659,3.1,63.1,635558,4.6
Dec-2021,13869215,66.2,13289987,3.4,63.4,579228,4.2
Jan-2022,13926237,66.3,13348263,3.5,63.6,577974,4.2
Feb-2022,13989338,66.5,13428917,3.6,63.8,560422,4.0
Mar-2022,14001811,66.4,13452657,3.3,63.8,549153,3.9
Apr-2022,14041954,66.5,13496969,3.7,63.9,544986,3.9
May-2022,14105281,66.7,13550689,3.5,64.1,554592,3.9
Jun-2022,14147210,66.8,13639554,3.9,64.4,507656,3.6
Jul-2022,14144677,66.6,13657095,3.9,64.3,487582,3.4
Aug-2022,14195138,66.7,13697160,5.3,64.4,497978,3.5
Sep-2022,14228268,66.7,13722273,6.5,64.4,505995,3.6
Oct-2022,14243377,66.7,13755949,7.2,64.4,487428,3.4
Nov-2022,14307864,66.8,13813131,4.6,64.5,494733,3.5
Dec-2022,14310959,66.7,13806097,3.9,64.3,504862,3.5
Jan-2023,14347763,66.7,13822225,3.6,64.2,525538,3.7
Feb-2023,14391713,66.7,13881238,3.4,64.3,510475,3.5
Mar-2023,14460402,66.8,13950433,3.7,64.5,509970,3.5
Apr-2023,14476714,66.8,13942522,3.3,64.3,534192,3.7
May-2023,14536008,66.9,14016954,3.4,64.5,519053,3.6
Jun-2023,14550335,66.9,14044439,3.0,64.5,505897,3.5
Jul-2023,14586200,66.9,14043040,2.8,64.4,543160,3.7
Aug-2023,14648441,67.0,14107895,3.0,64.5,540545,3.7