Date,Minimum temperature (C),Maximum temperature (C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
20/2/23,20.3,31.9,0,ENE,35,15:56,24.7,74,1,NE,11,1020.1,30.8,54,0,ENE,20,1017.2
21/2/23,19.6,30.8,0,SSE,48,17:33,25.3,73,1,SE,7,1021.6,29.6,54,0,SE,24,1019.9
22/2/23,19.2,22.2,29.6,SE,46,11:58,21.6,62,8,SSE,19,1025.8,19.1,81,8,SE,19,1026.3
23/2/23,16.4,23.9,1.2,E,35,14:18,18.8,76,8,WSW,6,1024,21.2,77,8,NE,2,1023.4
24/2/23,15.1,26.5,3.2,NE,35,15:58,20.7,71,0,W,2,1022,25.9,43,3,NE,15,1019.3
25/2/23,15.7,28.1,0,ENE,37,15:57,20.6,73,0,WNW,7,1018.6,26.5,43,2,ENE,19,1015
26/2/23,16.2,34,0,WSW,37,21:54,19.9,79,3,NNW,9,1013.4,33.1,26,2,NW,7,1009
27/2/23,19.9,27,0.8,ESE,35,16:19,23.2,74,8,SW,7,1012.6,25.8,64,8,SSE,20,1011
28/2/23,20.6,27.8,0,ENE,30,13:54,23.5,69,7,NA,0,1012.9,26.6,57,8,ENE,19,1008.8
1/3/23,19.9,29.6,0,SSE,56,16:45,23,78,1,WNW,11,1006.6,27.3,54,3,SSE,30,1006.9
2/3/23,18.9,27.9,0,NE,31,16:55,22.4,75,2,SW,6,1013.5,27.3,52,2,NE,17,1011.3
3/3/23,17.8,26.6,0,SE,33,11:48,22.6,77,3,SW,7,1016.2,25.3,65,8,SE,19,1015.6
4/3/23,18.6,26.4,1.6,ESE,28,14:01,20,92,8,SW,2,1017.7,25.6,54,8,E,19,1015.2
5/3/23,16,30.9,0,NE,35,15:35,20.1,79,0,W,4,1013.7,30.6,38,0,NNE,13,1008.2
6/3/23,19,39,0,N,54,10:44,25.8,57,0,NNE,13,1004.3,37.9,21,0,NW,13,1000.4
7/3/23,20.7,35.6,0,WNW,41,13:43,24.4,64,8,NW,4,1006.8,34.5,15,0,WNW,20,1003.3
8/3/23,13.7,32.4,0,WNW,35,14:02,20.6,55,0,NA,0,1006.4,31.9,15,0,NW,17,1002.1
9/3/23,13.7,28.8,0,ESE,39,15:36,20.5,50,0,W,11,1010.7,27.5,23,0,SSE,15,1008.4
10/3/23,14.4,28.2,0,NE,41,17:47,19.2,69,0,WSW,6,1017.1,27.7,50,3,NE,20,1014.2
11/3/23,16,33.9,0,ENE,33,15:05,21,78,0,NW,7,1014.2,33.4,30,0,NW,9,1009.2
12/3/23,21,27.9,0,SSE,56,13:03,22.9,73,8,SSW,9,1010.8,26.6,63,8,SE,28,1009.9
13/3/23,18.9,25.2,0.4,ESE,39,11:16,19.7,90,8,SW,7,1016.5,23.5,58,8,SSE,17,1016.6
14/3/23,18.4,24.1,0.4,E,31,10:42,21.5,85,8,ESE,11,1017.9,21.1,85,8,NNE,17,1016.3
15/3/23,17.4,30.1,12.2,SE,31,14:29,19.4,95,0,SW,7,1014.2,29.5,47,0,ENE,4,1009.8
16/3/23,17.2,37,0,W,37,14:51,20.5,85,0,WNW,9,1010.8,36.2,22,0,W,11,1005.8
17/3/23,17.4,32.3,0,ESE,48,13:47,24.8,42,0,SE,2,1013.7,28.5,53,0,SE,31,1014.2
18/3/23,18.2,32.1,0,E,33,14:33,21.9,84,0,NA,0,1019.8,31.8,47,0,ENE,17,1016.1
19/3/23,18.4,38.1,0,ESE,33,15:08,21.5,83,0,W,7,1018.2,37.9,23,0,E,9,1014.9
20/3/23,19.8,23.7,0,SE,41,10:02,23.3,78,8,SSE,20,1023.2,21.6,68,8,S,28,1025.9
21/3/23,17.7,22.8,0.6,SSE,31,7:15,20.1,64,8,S,9,1029.5,22.3,52,8,SE,17,1027
22/3/23,17.8,24.2,0,NA,NA,NA,19.8,75,0,NW,6,1023.4,23.5,63,8,N,9,1020.1
23/3/23,17.5,25.8,0.2,SW,NA,14:45,19.4,90,0,NA,0,1017.8,24.6,64,7,SSW,13,1016.1
24/3/23,16.3,26.8,4.6,SE,NA,11:43,19.9,77,0,SW,9,1017.2,25.8,61,4,SE,22,1016
25/3/23,17.9,25.2,0,SE,31,12:50,22.1,73,8,E,13,1018.4,23.8,58,8,ESE,20,1016.9
26/3/23,16.3,25.6,1,NNE,28,13:50,18.1,86,7,NA,0,1018.2,22.9,68,7,NNE,15,1015.3
27/3/23,18,25.6,6.2,NW,19,11:59,19.5,97,8,NA,0,1013.5,23.4,79,8,NNW,7,1010.7
28/3/23,18.8,25.3,0,NA,NA,NA,20.6,82,7,W,7,1014,21.8,84,8,NNW,11,1013.3
29/3/23,19.1,28.2,6.6,N,44,12:54,21.2,82,8,N,19,1007.2,26.4,59,8,NNW,20,1000.7
30/3/23,12.4,25.1,0,SW,37,14:21,18.6,54,0,W,15,1006.7,24.5,34,5,WSW,20,1005.7
31/3/23,10.9,25.9,0,ESE,30,16:00,16.7,57,0,NW,7,1011.9,25,31,0,SSW,11,1009.2
1/4/23,11.3,19.7,0,SSE,33,15:04,16.7,63,0,WSW,11,1014.5,18.1,71,8,SSW,13,1014.9
2/4/23,14.3,21.2,12.8,ENE,52,13:32,16.1,95,8,W,9,1019.3,18.5,84,8,ENE,13,1018.8
3/4/23,14.6,24.7,9.4,NE,30,13:35,18.5,90,1,SW,9,1021.5,22.4,64,6,ENE,17,1019
4/4/23,13.6,26.2,0.4,SE,30,14:49,19.3,76,0,SW,6,1021,24.4,49,1,SE,19,1016.6
5/4/23,13.1,25,0,SE,31,15:16,17.8,84,8,WSW,11,1017.1,24.5,56,1,SE,19,1014.1
6/4/23,14.5,22.9,0,NE,26,10:42,19.2,76,0,WSW,7,1015.6,22.5,59,8,NE,9,1012.2
7/4/23,12.4,25.4,0,W,52,20:15,16,91,8,WNW,9,1008,23.9,58,4,N,15,999.1
8/4/23,11.6,24,5.2,W,50,10:29,19.9,56,0,WNW,17,999.7,22.1,44,4,W,24,999.8
9/4/23,14.5,21,0,SW,44,8:31,17.5,41,0,WSW,24,1005.7,20,32,0,WSW,22,1005.3
10/4/23,9.9,21.4,0,SW,41,14:01,15.2,52,0,WSW,15,1009.7,20.8,27,6,WSW,13,1007.1
11/4/23,8.2,23.2,0,WSW,30,9:38,15.6,51,0,WSW,13,1012.5,20.8,51,8,SSE,19,1009.8
12/4/23,10.1,22.8,0,WNW,19,11:00,17.2,66,8,WNW,7,1009.6,20.7,44,8,NNW,9,1005.4
13/4/23,11.5,24.3,0,S,41,15:08,17.1,73,8,SW,11,1009.6,21.8,56,2,S,26,1009.4
14/4/23,14.6,23,6.2,S,35,9:28,17.8,80,8,SW,15,1014.6,21.6,56,1,SSE,20,1011.3
15/4/23,11,26.6,0.8,NNE,26,16:24,17.6,76,0,NNW,6,1010.6,26.2,38,0,N,9,1005.2
16/4/23,17.5,26,0,WNW,52,14:26,18.8,81,8,NA,0,1003.2,24.1,32,0,WSW,20,1005.4
17/4/23,10.5,23.2,0,ENE,31,15:03,17.6,58,0,WSW,9,1022.2,21.2,54,8,ESE,20,1021.8
18/4/23,10.3,22.7,0,NNE,28,14:41,18.1,67,0,NW,2,1025.9,21.8,50,8,NE,13,1022.1
19/4/23,10.1,26.1,0,ENE,26,15:59,17,77,5,WNW,6,1020.3,25.1,39,0,NE,7,1015.8
20/4/23,16.3,19,24.2,SW,28,2:12,16.4,93,8,SW,13,1024.1,18.2,78,8,SSW,15,1023.3
21/4/23,12.3,22.8,1.2,SE,31,13:04,17.7,64,0,SW,7,1028.7,21.7,46,0,S,15,1027.3
22/4/23,11.3,23,0,SE,28,12:34,15.8,75,8,WSW,9,1031.1,21.7,65,8,SE,17,1028.9
23/4/23,13.5,24.2,0,SE,37,11:20,16.2,85,8,W,2,1032.3,21.9,70,8,SSE,20,1031.4
24/4/23,14,23.6,1.8,NE,31,17:35,19.6,75,1,SW,7,1033.9,21.5,63,8,E,15,1031.1
25/4/23,15.2,24.8,0.6,NE,26,15:57,19.1,81,0,NNW,7,1030.5,24,46,0,NNE,7,1025.9
26/4/23,12.5,22.6,0,NE,26,14:43,17.1,80,2,NW,4,1029.2,22,63,7,NE,15,1026.1
27/4/23,11.5,25,0,NE,30,15:47,17.2,82,0,NA,0,1026,23.9,44,2,NNE,11,1020.9
28/4/23,10.9,27.8,0,NNW,26,12:11,16,84,0,NNW,7,1018.5,27.2,37,0,NNE,15,1012.4
29/4/23,16,18.1,2,NNW,31,22:32,17.4,93,8,NA,0,1011.4,17.4,93,8,WSW,4,1009.6
30/4/23,14,19.6,36.6,WNW,30,10:21,15.6,77,7,WNW,11,1010.5,19.3,60,1,WSW,11,1009.6
1/5/23,7.6,20.8,0.2,W,30,15:57,14,75,0,NW,6,1015.3,20.4,38,2,W,11,1011.6
2/5/23,7.3,22.3,0,WSW,37,12:28,16.6,62,0,WNW,13,1016.2,21.7,42,4,W,13,1014.2
3/5/23,7.8,24.3,0,WNW,52,10:52,19,56,0,N,17,1014.3,23.7,26,0,WNW,22,1010.7
4/5/23,7.5,20.9,0,WNW,37,0:57,14.4,52,0,WSW,13,1020,19.4,47,0,ESE,9,1018.3
5/5/23,8.3,22.2,0,NNE,26,15:17,13.5,72,0,W,7,1019.7,21.4,38,0,N,15,1015
6/5/23,6.2,22.1,0,W,24,12:21,12.8,73,0,WSW,6,1019.4,21.4,34,0,WSW,9,1015.5
7/5/23,7.8,16.5,0,SW,52,21:33,12.5,68,8,W,15,1016.3,16,33,0,W,24,1012.9
8/5/23,7,17.6,7,WSW,52,9:47,12.7,43,0,WSW,20,1015.2,17.1,29,8,SW,17,1015.7
9/5/23,6.7,20.1,0,SW,31,9:57,13.6,55,0,WSW,9,1021.6,18,46,8,SSW,13,1021.7
10/5/23,8.9,20.3,0,E,24,14:35,13.6,58,0,W,11,1027.5,19.2,44,0,ESE,13,1025.4
11/5/23,8,21.8,0,ESE,22,15:48,13.9,72,0,WNW,9,1030.5,20.1,48,2,NNE,11,1027.2
12/5/23,7.1,24.1,0,NE,17,16:25,13.2,80,0,WNW,7,1030.3,24,31,0,ENE,9,1026.8
13/5/23,9,21.8,0,SE,33,16:04,14.7,79,0,W,7,1032.2,18.9,68,8,ESE,17,1029.6
14/5/23,10.8,20.7,5.2,ESE,26,14:40,15.7,83,1,WNW,4,1030.9,19,70,4,SE,19,1027
15/5/23,9.4,21.4,0.2,SE,24,14:28,13,97,8,WNW,6,1026.5,18.7,72,7,E,15,1022.3
16/5/23,8.4,22.3,0.2,SSW,33,23:59,13.4,90,0,N,7,1020.4,21.1,48,2,SSE,19,1016.9
17/5/23,11.1,18.7,0,S,39,11:18,13.9,67,2,WSW,9,1023.8,16.7,49,6,S,19,1022.3
18/5/23,7.5,17.4,0.2,S,28,14:24,12.7,66,7,SW,15,1021.6,17.1,55,8,SSE,19,1017.7
19/5/23,6.4,19.3,0,SW,24,9:04,11.1,65,0,WSW,13,1019,18.9,31,0,WSW,9,1014.8
20/5/23,3.5,19.1,0,WSW,35,15:35,11.2,64,0,NW,7,1017.2,18.2,37,0,W,19,1013.7
21/5/23,5.9,19.3,0,WSW,57,13:40,14.6,54,1,NW,7,1014.5,17.6,43,0,W,30,1014.1
22/5/23,4,20.9,0,WNW,19,10:35,11.6,65,0,W,7,1026.9,19.7,28,0,WNW,2,1024.1
23/5/23,3.1,20.7,0,E,20,15:13,10.4,66,0,NNW,7,1028.9,19.1,42,0,ESE,15,1025.9
24/5/23,4.5,21.7,0,WNW,15,9:21,9.5,78,0,NW,7,1027.5,20.8,31,0,WNW,7,1023.3
25/5/23,2.8,19.4,0,NNW,19,10:51,9.1,86,0,NA,0,1020.9,19.3,37,7,N,7,1015
26/5/23,7.1,16.6,0,SSE,52,10:27,12.3,60,8,SSW,4,1011.6,15.5,49,8,SW,19,1014.5
27/5/23,2.9,18.5,0,WSW,30,15:23,9.8,66,0,WNW,9,1019.1,16.6,44,0,WSW,15,1015.1
28/5/23,0.7,17.9,0,WNW,35,14:22,8.1,71,0,WNW,7,1016.5,16.8,41,2,W,19,1013.1
29/5/23,4.6,21.1,0,W,39,14:03,11.1,73,0,SE,4,1017.1,20,35,0,W,20,1015.7
30/5/23,4,21.4,0,WSW,31,13:53,11.6,69,0,NW,6,1023.8,20.9,40,0,W,17,1020
31/5/23,4.8,21.4,0,NNW,20,13:52,12.9,76,4,WNW,6,1021.1,20.6,50,4,WNW,9,1016.5
1/6/23,9.6,21.3,0,N,19,13:01,13.3,85,8,NA,0,1018.2,19.5,58,7,NA,0,1017
2/6/23,8.8,21.6,0,NNE,20,13:51,14.7,85,8,NW,7,1025.5,20,67,5,E,13,1022.6
3/6/23,12.3,24.7,0,SE,31,14:55,14.4,99,7,NW,6,1025.4,22.8,51,5,SE,24,1023.1
4/6/23,14.3,18.5,0,ESE,33,15:22,17.5,68,8,SSE,13,1033.4,17.7,60,8,ESE,22,1031.8
5/6/23,11.1,20,0.2,ENE,30,15:08,14.4,83,7,SW,7,1032.6,19.2,52,8,N,7,1028.2
6/6/23,11.1,20.4,0,NE,22,15:02,14,93,8,NA,0,1029.8,20.2,56,5,NE,13,1026.1
7/6/23,8.5,21.3,0,NE,30,12:06,13.2,94,1,NA,0,1027.2,21,56,0,NE,11,1022.7
8/6/23,7.9,18.6,0,N,30,13:26,11.6,99,8,W,4,1017.4,15.6,84,8,N,13,1011.6
9/6/23,3.8,20.8,0.2,W,33,14:31,10.2,96,0,ESE,6,1016.6,20,38,0,WNW,20,1014.7
10/6/23,3.3,18.9,0.8,WSW,26,11:36,10.8,76,0,WNW,6,1023.5,18.6,35,0,NW,7,1021.3
11/6/23,2.4,18.8,0,SE,19,16:36,8.9,77,0,WNW,7,1026.6,18.1,40,0,ENE,2,1022.4
12/6/23,3.6,20.7,0,NNW,13,11:10,7.6,97,3,NA,0,1022.9,20.1,49,1,WNW,4,1017.6
13/6/23,6.2,20.8,0,WNW,33,18:27,11.1,99,0,NA,0,1015,19.6,51,0,N,9,1010.4
14/6/23,5.9,18.5,0,WNW,43,14:41,13.7,57,0,NW,7,1013.4,18,27,0,W,17,1012.5
15/6/23,4,18.9,0,WSW,33,12:47,9.8,64,0,WNW,7,1018.1,18.2,38,0,WNW,17,1015.3
16/6/23,2.8,20.4,0,SW,24,12:07,9.1,74,0,WNW,9,1022.2,19.9,39,0,W,7,1019.6
17/6/23,2.9,19.8,0,NW,13,11:46,8,95,0,W,7,1022.8,19.5,35,0,N,7,1017
18/6/23,0.6,19.8,0,WNW,48,15:18,6.2,93,0,NA,0,1016.2,18.1,34,6,WNW,17,1012.7
19/6/23,0.3,17.6,0,WNW,39,21:21,4.3,90,0,NA,0,1017.1,17,29,0,NW,19,1011.6
20/6/23,2.8,16.4,0,WSW,28,14:13,9.2,54,0,W,9,1020.8,15.9,31,0,SSE,11,1019.9
21/6/23,0.8,17.2,0,WNW,17,9:32,7.3,69,0,NW,9,1025.2,16.2,33,0,N,4,1022.1
22/6/23,4.3,15.2,0,NW,13,12:01,8.7,75,8,NW,9,1021,14.4,59,8,NW,2,1015.8
23/6/23,8.5,19.2,7.2,WNW,39,12:18,11.5,90,0,N,9,1009.3,18.9,33,1,WNW,17,1006.5
24/6/23,3.9,20.5,0,WNW,30,13:02,11.7,67,0,NNW,4,1014.6,20.2,28,0,NW,11,1010.5
25/6/23,2.1,20.6,0,WNW,48,12:57,10.5,68,0,NA,0,1012.9,19.9,22,0,WNW,20,1009.8
26/6/23,7.9,19.2,0,W,57,17:46,15.3,42,0,NNE,11,1013.7,18.2,32,0,W,22,1012.7
27/6/23,6.5,18.4,0,WNW,28,12:52,12.7,59,0,NW,7,1022,17.9,40,1,SW,15,1018.6
28/6/23,10.3,11.6,1.2,NNW,17,12:41,10.7,90,8,NW,7,1017.9,10.5,90,8,WNW,2,1013.1
29/6/23,5.7,15.7,3.6,SW,30,11:24,10.2,68,0,WSW,11,1017.5,15.2,38,0,SW,19,1015.6
30/6/23,5.9,18.5,0,WSW,37,15:40,12.6,51,0,W,15,1018.2,17.9,39,0,WSW,20,1016.9
1/7/23,3,18.6,0,SW,41,12:29,10,69,0,NW,13,1020.7,18.2,40,0,WSW,20,1019.6
2/7/23,6.5,18.9,0,ESE,28,15:47,10.5,66,0,WSW,11,1031.4,17.4,47,0,SE,19,1029.2
3/7/23,6.9,19.2,0,ESE,20,16:10,12.4,70,4,NW,4,1031.5,17.8,58,7,NA,0,1026.9
4/7/23,12,15,4.4,WNW,11,13:42,12.8,99,8,NA,0,1021,14.7,92,8,NA,0,1015.5
5/7/23,10.9,21.5,3.6,W,20,14:23,12.4,99,8,WNW,9,1012.8,21.5,56,1,NW,9,1010.5
6/7/23,6,18.2,0,NW,33,16:42,12.1,71,0,WSW,9,1014.6,16.6,44,4,WNW,13,1009.8
7/7/23,3.4,18.9,0,W,35,14:33,9,80,0,WNW,6,1011.4,18.1,38,0,W,19,1010.2
8/7/23,7.1,20.3,0,WNW,46,20:26,13.1,51,0,NNW,13,1013.8,19.4,32,0,NW,19,1010
9/7/23,11.6,18.6,0,W,48,11:49,14.6,47,0,NNW,11,1017.3,18.3,39,0,W,20,1016.4
10/7/23,7,20,0,WNW,28,12:18,11.6,68,0,NW,9,1022.9,19.6,37,0,WSW,13,1020.2
11/7/23,1.7,20.6,0,WNW,24,12:05,7.7,83,0,W,2,1026.4,20.1,33,0,N,6,1024.2
12/7/23,3.3,19.8,0,N,26,14:32,8.9,80,0,WNW,7,1031,19.6,42,0,N,9,1027
13/7/23,3.6,21.1,0,NA,NA,NA,8.6,88,0,NNW,9,1028.5,20.6,36,0,N,9,1024.4
14/7/23,1.7,23.4,0,NNW,28,14:34,8.6,86,0,NA,0,1025.3,23,31,0,NNW,13,1020.4
15/7/23,3.3,23.8,0,WNW,48,13:05,11,80,0,NA,0,1021.5,23.2,31,0,NW,17,1018.3
16/7/23,8.7,18,0,SSE,26,15:05,12.9,81,8,NNW,6,1027.9,16.7,72,8,SE,19,1027.4
17/7/23,8.8,19.8,0.8,NE,22,15:01,12.2,99,7,WNW,7,1031,19,63,1,ENE,15,1027.5
18/7/23,6.8,21.9,0.2,W,24,15:12,11.3,100,3,NW,4,1024.4,20.6,40,5,WNW,11,1018.3
19/7/23,5.2,16.8,0,WSW,28,9:47,10.5,62,0,WSW,13,1023.7,15.7,38,0,SE,17,1022.1
20/7/23,1.5,18.5,0,NNW,24,12:31,7.2,74,0,WNW,9,1021.9,18.1,30,0,NNE,9,1014.3
21/7/23,3.6,19.7,0.2,WSW,39,11:17,13,66,7,WNW,11,1017.2,19.1,27,5,W,17,1015.4
22/7/23,3.3,17.5,0,WSW,30,9:54,9.5,62,0,WSW,13,1023,16.8,48,7,SSE,11,1020.4
23/7/23,4.1,18.6,0,SSE,33,16:00,10.3,67,1,W,9,1023.8,17.4,42,0,SSE,19,1022.4
24/7/23,9.4,17.8,2.4,S,22,11:14,12,81,7,WNW,7,1029.2,17.2,54,1,ESE,13,1028.3
25/7/23,4.8,19.8,0.2,ESE,24,15:20,9.9,78,0,NNW,4,1036.3,18.3,53,0,E,11,1034.6
26/7/23,4.1,21.1,0,N,22,11:58,9.6,90,0,NNW,7,1036.6,20.7,36,0,NNW,11,1030.6
27/7/23,4.1,21.1,0.2,NW,20,13:06,10.3,72,0,WNW,11,1032.5,20.7,42,0,NNW,7,1026
28/7/23,4.1,24.6,0,WNW,37,12:54,10.2,99,8,WNW,2,1021.9,23.8,33,8,WSW,17,1019.2
29/7/23,8.6,23.2,0,NNE,17,11:02,14.8,74,7,WNW,6,1023.5,22.6,42,7,NA,0,1019.6
30/7/23,6.3,26.1,0,WSW,30,15:45,12.5,85,0,SW,2,1021.1,25.8,29,4,W,13,1015.8
31/7/23,5.6,23.8,0,WNW,26,10:01,15.2,60,0,NA,0,1023,23.6,27,0,NNW,6,1020
1/8/23,5.8,22.3,0,S,28,14:07,13.5,58,0,NW,7,1027,21.4,29,0,E,11,1026
2/8/23,8,19.5,0.2,ENE,22,16:42,13.2,81,6,WSW,4,1036,19.1,60,8,NNE,11,1034
3/8/23,5.2,22.8,0,NE,24,15:29,11.2,90,0,NA,0,1036,22.3,42,0,NE,13,1031.2
4/8/23,5,24.1,0,NE,22,17:55,11.3,90,0,NA,0,1033.8,24.1,31,0,NW,9,1028.3
5/8/23,7.5,18.1,0.2,S,22,21:02,11.5,81,8,NA,0,1030.3,16.9,69,7,WSW,6,1028.5
6/8/23,11.4,17.4,4.6,SE,30,16:09,13.3,79,8,SW,9,1033.4,17.1,61,8,SSE,17,1031.3
7/8/23,8.3,16.6,0,SSE,26,12:05,12.2,73,8,SW,9,1031.8,15.1,73,8,SE,17,1029.8
8/8/23,8,20,0,ESE,28,14:41,11.4,86,5,SW,6,1032.7,18.1,58,2,ESE,19,1029.8
9/8/23,6.4,21.2,0,NW,26,12:01,12.4,87,0,WNW,6,1032.1,20.8,37,0,NNE,13,1026
10/8/23,4.7,24.2,0.2,W,63,12:26,14.5,64,1,NW,6,1021.1,22,29,1,WNW,30,1015.8
11/8/23,4.9,20,0,SW,19,8:30,12.5,56,0,SW,9,1023.5,19.5,30,0,NW,9,1019.7
12/8/23,3.1,21.3,0,SE,22,16:02,10.7,72,0,W,7,1019.9,20.5,30,6,NW,4,1015.5
13/8/23,10.3,18.8,0,SE,35,13:41,14.3,65,8,SW,7,1019.8,15.6,70,7,SE,20,1017.8
14/8/23,11.2,15.8,14.2,SSE,26,13:37,12.7,94,8,SSE,9,1016.9,13.5,86,8,SSE,13,1015.1
15/8/23,5.8,18.1,1,S,33,15:55,11.3,83,8,SW,9,1021.2,15.7,62,8,SSE,20,1019.9
16/8/23,6.8,18.3,0,SE,28,15:40,11.2,81,8,WNW,7,1023.8,17.5,50,6,NE,2,1018.7
17/8/23,3.8,21.2,0,ESE,31,16:14,11.7,77,0,W,9,1015.2,20.9,23,0,SW,6,1009.2
18/8/23,9.1,18.7,6,WNW,65,15:08,14.6,79,0,WNW,11,1003,17.3,33,0,W,31,1003
19/8/23,9.2,19.4,0.2,WSW,48,16:59,12.9,45,0,W,20,1016.4,18.7,37,1,W,24,1015.7
20/8/23,7.7,22.6,0,NE,30,16:03,16.2,58,0,NW,9,1023.2,22,33,0,NE,6,1020.7
21/8/23,8.1,22,0,N,22,13:50,15.2,60,0,W,9,1023.8,21.1,33,0,NNE,9,1019.9
22/8/23,6.3,27.1,0,N,33,13:01,13.1,73,0,NW,2,1021.2,24.6,28,7,N,15,1015.9
23/8/23,8.4,19.1,2.4,SSE,35,12:42,14.8,56,0,WSW,13,1022.9,17.8,58,8,SSE,20,1023.6
24/8/23,10.7,19.3,0.2,ESE,20,13:32,13.5,78,8,W,7,1030,18.3,52,8,E,11,1026.9
25/8/23,4.7,22.1,0,ESE,28,14:40,12.3,78,0,NW,9,1027.2,20.2,47,0,SE,24,1024.6
26/8/23,7.1,21.1,0,ESE,30,14:17,13.9,74,1,W,9,1029.6,19,56,1,ESE,22,1027
27/8/23,6.3,22,0,ESE,26,14:04,14.5,79,0,W,9,1029.1,20.9,50,0,ENE,13,1025.8
28/8/23,7.5,22.5,0.2,E,28,15:07,15.1,78,0,NW,4,1026.8,21.3,48,0,ENE,17,1021.9
29/8/23,8.1,24.7,6.8,ENE,26,14:57,13.6,84,2,WSW,7,1021.5,23,40,0,ENE,17,1015.7
30/8/23,9.1,26.6,0.2,WSW,61,15:53,15.7,66,0,NNW,7,1014.6,19.5,59,8,S,11,1010.1
31/8/23,8.5,20.3,16.4,ESE,28,15:20,15.8,74,1,SW,13,1016.9,19.3,57,6,ESE,15,1014.3
1/9/23,7.4,19,0.2,S,56,16:09,13.9,65,8,SW,11,1019.9,17.2,46,0,SSE,33,1019.1
2/9/23,5.4,19.1,0,SE,31,14:06,13.1,56,0,SW,15,1023.9,17.8,55,5,ESE,19,1020.1
3/9/23,7.1,20.1,0,ESE,33,16:05,15,65,0,SSW,6,1022.6,18.6,53,0,ESE,19,1018.4
4/9/23,6.6,21.9,0,ENE,33,14:33,13.4,79,0,NA,0,1017.3,20.7,58,0,NE,17,1010.9
5/9/23,11.1,24.8,0,W,50,9:58,20.3,45,0,W,17,1011,24.3,14,0,W,19,1011.4
6/9/23,5,23.1,0.2,ENE,39,16:09,15.2,51,0,NA,0,1023.2,20.9,42,0,ENE,24,1019
7/9/23,6.2,28.5,0,WNW,48,22:22,14.3,67,0,N,9,1020.2,26.2,39,0,ENE,22,1012.8
8/9/23,13.2,19.4,5.2,W,46,15:10,13.8,85,8,W,9,1017.2,19.2,23,0,WNW,26,1015
9/9/23,7.6,19.1,4.6,ESE,35,15:32,13.4,44,0,SW,13,1025.4,17.6,31,0,ESE,24,1023.6
10/9/23,4.3,19.8,0,SSE,33,14:54,12.9,50,0,WNW,11,1030.6,18,44,0,SE,28,1027.3
11/9/23,5.3,20.3,0,ESE,28,15:04,13.6,57,0,WNW,9,1032.6,18.3,46,0,ESE,19,1029.2
12/9/23,7.3,20.8,0,ESE,20,15:43,14,68,0,W,9,1031.2,20.3,39,8,NW,6,1027.2
13/9/23,6.1,23.5,0,ESE,33,14:43,15.2,63,0,NNW,7,1028.9,22.1,36,0,ESE,20,1025.6
14/9/23,8,26.8,0,ESE,26,15:10,17.1,56,0,WNW,9,1029,26.4,29,0,SSE,6,1024.8
15/9/23,8.4,31,0,NNE,30,14:01,17.1,57,0,NW,9,1025.3,30.7,14,0,NNW,13,1020.2
16/9/23,8.9,33.3,0,WNW,44,13:38,20.4,46,0,NW,7,1022.3,32.4,13,0,WNW,20,1017.3
17/9/23,10.3,32.7,0,W,33,15:16,22.9,34,0,NNW,9,1022.9,32.7,10,0,W,11,1018.1
18/9/23,9.7,35.4,0,N,26,10:59,21.1,37,0,NW,7,1021.6,35.3,11,0,WNW,11,1015.3
19/9/23,11.1,34.9,0,NW,39,14:14,25.6,30,0,WNW,9,1017.2,33.5,12,3,WNW,13,1010.7
20/9/23,14.7,34.7,0,NNW,48,12:22,28,21,0,NNW,17,1010.5,34.4,10,0,WNW,28,1005.4
21/9/23,13.3,23.6,0,SE,50,16:05,20.1,30,0,SW,20,1016,19.2,52,1,SE,31,1017.5